r_t1, r_t2, c_prob, c_prob_epoch, cp, obs_cp
0.000000,2.354340,1.000000,0.000000,0.000000,0.000000
0.000000,2.773382,1.000000,0.000000,0.000000,0.000000
0.000000,3.429498,1.000000,0.000000,0.000000,0.000000
0.000000,1.703538,1.000000,0.000000,0.000000,0.000000
0.000000,4.255490,1.000000,0.000000,0.000000,0.000000
0.000000,3.284581,1.000000,0.000000,0.000000,0.000000
0.000000,1.895454,1.000000,0.000000,0.000000,0.000000
0.000000,1.538191,1.000000,0.000000,0.000000,0.000000
0.000000,3.561407,1.000000,0.000000,0.000000,0.000000
0.000000,4.690137,1.000000,0.000000,0.000000,0.000000
0.000000,1.183302,1.000000,0.000000,0.000000,0.000000
0.000000,1.869208,1.000000,0.000000,0.000000,0.000000
0.000000,4.978659,1.000000,0.000000,0.000000,0.000000
0.000000,2.216929,1.000000,0.000000,0.000000,0.000000
0.000000,4.560171,1.000000,0.000000,0.000000,0.000000
0.000000,1.231919,1.000000,0.000000,0.000000,0.000000
0.000000,2.975253,1.000000,0.000000,0.000000,0.000000
0.000000,3.334050,1.000000,0.000000,0.000000,0.000000
0.000000,1.446973,1.000000,0.000000,0.000000,0.000000
0.000000,0.670060,1.000000,0.000000,0.000000,0.000000
0.000000,2.993545,1.000000,0.000000,0.000000,0.000000
0.000000,1.481271,1.000000,0.000000,0.000000,0.000000
0.000000,1.492787,1.000000,0.000000,0.000000,0.000000
0.000000,0.648543,1.000000,0.000000,0.000000,0.000000
0.000000,1.323533,1.000000,0.000000,0.000000,0.000000
0.000000,3.913585,1.000000,0.000000,0.000000,0.000000
0.000000,3.839427,1.000000,0.000000,0.000000,0.000000
0.000000,4.973640,1.000000,0.000000,0.000000,0.000000
3.580039,0.000000,1.000000,1.000000,1.000000,1.000000
3.813973,0.000000,1.000000,1.000000,0.000000,0.000000
4.098750,0.000000,1.000000,1.000000,0.000000,0.000000
1.776496,0.000000,1.000000,1.000000,0.000000,0.000000
3.573369,0.000000,1.000000,1.000000,0.000000,0.000000
3.275283,0.000000,1.000000,1.000000,0.000000,0.000000
3.561394,0.000000,1.000000,1.000000,0.000000,0.000000
5.223586,0.000000,1.000000,1.000000,0.000000,0.000000
2.551111,0.000000,1.000000,1.000000,0.000000,0.000000
1.491962,0.000000,1.000000,1.000000,0.000000,0.000000
3.475883,0.000000,1.000000,1.000000,0.000000,0.000000
4.309624,0.000000,1.000000,1.000000,0.000000,0.000000
4.014364,0.000000,1.000000,1.000000,0.000000,0.000000
3.385482,0.000000,1.000000,1.000000,0.000000,0.000000
2.413247,0.000000,1.000000,1.000000,0.000000,0.000000
2.883331,0.000000,1.000000,1.000000,0.000000,0.000000
3.146651,0.000000,1.000000,1.000000,0.000000,0.000000
3.667952,0.000000,1.000000,1.000000,0.000000,0.000000
3.856481,0.000000,1.000000,1.000000,0.000000,0.000000
2.699678,0.000000,1.000000,1.000000,0.000000,0.000000
3.202514,0.000000,1.000000,1.000000,0.000000,0.000000
4.949621,0.000000,1.000000,1.000000,0.000000,0.000000
2.095069,0.000000,1.000000,1.000000,0.000000,0.000000
2.940714,0.000000,1.000000,1.000000,0.000000,0.000000
5.261996,0.000000,1.000000,1.000000,0.000000,0.000000
2.748276,0.000000,1.000000,1.000000,0.000000,0.000000
2.829066,0.000000,1.000000,1.000000,0.000000,0.000000
3.201614,0.000000,1.000000,1.000000,0.000000,0.000000
3.575074,0.000000,1.000000,1.000000,0.000000,0.000000
3.258037,0.000000,1.000000,1.000000,0.000000,0.000000
2.050964,0.000000,1.000000,1.000000,0.000000,0.000000
5.567722,0.000000,1.000000,1.000000,0.000000,0.000000
2.727839,0.000000,1.000000,1.000000,0.000000,0.000000
3.555618,0.000000,1.000000,1.000000,0.000000,0.000000
2.121399,0.000000,1.000000,1.000000,0.000000,0.000000
0.000000,3.133220,1.000000,0.000000,1.000000,1.000000
0.000000,1.904284,1.000000,0.000000,0.000000,0.000000
0.000000,2.582886,1.000000,0.000000,0.000000,0.000000
0.000000,2.935166,1.000000,0.000000,0.000000,0.000000
0.000000,2.718016,1.000000,0.000000,0.000000,0.000000
0.000000,2.673635,1.000000,0.000000,0.000000,0.000000
0.000000,4.510157,1.000000,0.000000,0.000000,0.000000
0.000000,4.844464,1.000000,0.000000,0.000000,0.000000
0.000000,3.770958,1.000000,0.000000,0.000000,0.000000
0.000000,2.250315,1.000000,0.000000,0.000000,0.000000
0.000000,2.697525,1.000000,0.000000,0.000000,0.000000
0.000000,4.226200,1.000000,0.000000,0.000000,0.000000
0.000000,3.348129,1.000000,0.000000,0.000000,0.000000
0.000000,2.595788,1.000000,0.000000,0.000000,0.000000
0.000000,3.878603,1.000000,0.000000,0.000000,0.000000
0.000000,3.200898,1.000000,0.000000,0.000000,0.000000
0.000000,3.246214,1.000000,0.000000,0.000000,0.000000
0.000000,1.492475,1.000000,0.000000,0.000000,0.000000
0.000000,3.149039,1.000000,0.000000,0.000000,0.000000
0.000000,3.191407,1.000000,0.000000,0.000000,0.000000
0.000000,3.605810,1.000000,0.000000,0.000000,0.000000
0.000000,3.821988,1.000000,0.000000,0.000000,0.000000
0.000000,2.327013,1.000000,0.000000,0.000000,0.000000
0.000000,1.735529,1.000000,0.000000,0.000000,0.000000
0.000000,3.473149,1.000000,0.000000,0.000000,0.000000
0.000000,3.907146,1.000000,0.000000,0.000000,0.000000
0.000000,3.727570,1.000000,0.000000,0.000000,0.000000
0.000000,3.379896,1.000000,0.000000,0.000000,0.000000
0.000000,1.713701,1.000000,0.000000,0.000000,0.000000
0.000000,3.014114,1.000000,0.000000,0.000000,0.000000
0.000000,4.239171,1.000000,0.000000,0.000000,0.000000
0.000000,3.227046,1.000000,0.000000,0.000000,0.000000
1.463675,0.000000,1.000000,1.000000,1.000000,1.000000
2.508523,0.000000,1.000000,1.000000,0.000000,0.000000
3.341426,0.000000,1.000000,1.000000,0.000000,0.000000
3.045570,0.000000,1.000000,1.000000,0.000000,0.000000
3.930431,0.000000,1.000000,1.000000,0.000000,0.000000
4.288694,0.000000,1.000000,1.000000,0.000000,0.000000
3.422022,0.000000,1.000000,1.000000,0.000000,0.000000
2.452538,0.000000,1.000000,1.000000,0.000000,0.000000
2.935559,0.000000,1.000000,1.000000,0.000000,0.000000
5.031729,0.000000,1.000000,1.000000,0.000000,0.000000
4.641992,0.000000,1.000000,1.000000,0.000000,0.000000
4.039172,0.000000,1.000000,1.000000,0.000000,0.000000
2.369512,0.000000,1.000000,1.000000,0.000000,0.000000
1.797999,0.000000,1.000000,1.000000,0.000000,0.000000
3.155347,0.000000,1.000000,1.000000,0.000000,0.000000
2.296662,0.000000,1.000000,1.000000,0.000000,0.000000
1.776545,0.000000,1.000000,1.000000,0.000000,0.000000
4.075177,0.000000,1.000000,1.000000,0.000000,0.000000
5.928741,0.000000,1.000000,1.000000,0.000000,0.000000
1.788951,0.000000,1.000000,1.000000,0.000000,0.000000
3.747306,0.000000,1.000000,1.000000,0.000000,0.000000
3.632010,0.000000,1.000000,1.000000,0.000000,0.000000
1.862916,0.000000,1.000000,1.000000,0.000000,0.000000
1.988503,0.000000,1.000000,1.000000,0.000000,0.000000
3.270861,0.000000,1.000000,1.000000,0.000000,0.000000
2.007432,0.000000,1.000000,1.000000,0.000000,0.000000
4.220592,0.000000,1.000000,1.000000,0.000000,0.000000
2.739967,0.000000,1.000000,1.000000,0.000000,0.000000
3.122538,0.000000,1.000000,1.000000,0.000000,0.000000
0.000000,1.187298,1.000000,0.000000,1.000000,1.000000
0.000000,2.433391,1.000000,0.000000,0.000000,0.000000
0.000000,1.798053,1.000000,0.000000,0.000000,0.000000
0.000000,2.729333,1.000000,0.000000,0.000000,0.000000
0.000000,4.715167,1.000000,0.000000,0.000000,0.000000
0.000000,3.070211,1.000000,0.000000,0.000000,0.000000
0.000000,4.387850,1.000000,0.000000,0.000000,0.000000
0.000000,4.910031,1.000000,0.000000,0.000000,0.000000
0.000000,2.686965,1.000000,0.000000,0.000000,0.000000
0.000000,3.988564,1.000000,0.000000,0.000000,0.000000
0.000000,3.458463,1.000000,0.000000,0.000000,0.000000
0.000000,3.854992,1.000000,0.000000,0.000000,0.000000
0.000000,2.061555,1.000000,0.000000,0.000000,0.000000
0.000000,2.068625,1.000000,0.000000,0.000000,0.000000
0.000000,2.815648,1.000000,0.000000,0.000000,0.000000
0.000000,3.113514,1.000000,0.000000,0.000000,0.000000
0.000000,2.946288,1.000000,0.000000,0.000000,0.000000
0.000000,2.338630,1.000000,0.000000,0.000000,0.000000
0.000000,3.865926,1.000000,0.000000,0.000000,0.000000
0.000000,0.832864,1.000000,0.000000,0.000000,0.000000
0.000000,5.870791,1.000000,0.000000,0.000000,0.000000
0.000000,2.935063,1.000000,0.000000,0.000000,0.000000
0.000000,2.279525,1.000000,0.000000,0.000000,0.000000
0.000000,3.173900,1.000000,0.000000,0.000000,0.000000
0.000000,1.972264,1.000000,0.000000,0.000000,0.000000
0.000000,3.712888,1.000000,0.000000,0.000000,0.000000
0.000000,3.052719,1.000000,0.000000,0.000000,0.000000
0.000000,3.684626,1.000000,0.000000,0.000000,0.000000
0.000000,3.728066,1.000000,0.000000,0.000000,0.000000
0.000000,3.255518,1.000000,0.000000,0.000000,0.000000
0.000000,0.761402,1.000000,0.000000,0.000000,0.000000
0.000000,2.106275,1.000000,0.000000,0.000000,0.000000
0.000000,3.849417,1.000000,0.000000,0.000000,0.000000
0.000000,4.081324,1.000000,0.000000,0.000000,0.000000
3.656114,0.000000,1.000000,1.000000,1.000000,1.000000
3.474130,0.000000,1.000000,1.000000,0.000000,0.000000
